path,size,type,confidence,reason
.env,231,other,low,not referenced by scanned text
.env.example,1813,other,low,not referenced by scanned text
.gitignore,173,other,low,not referenced by scanned text
.npmignore,173,other,low,not referenced by scanned text
biometria-local/compilar-x86.bat,441,other,low,not referenced by scanned text
biometria-local/FusionBiometriaSdk.cs,18405,other,low,not referenced by scanned text
biometria-local/iniciar-sdk.bat,111,other,low,not referenced by scanned text
config/env.mjs,495,text,low,not referenced by scanned text
config/exercise-assets-map.json,116561,text,low,not referenced by scanned text
core/auth.mjs,0,text,low,not referenced by scanned text
core/errors.mjs,0,text,low,not referenced by scanned text
core/permissions.mjs,0,text,low,not referenced by scanned text
core/validators.mjs,0,text,low,not referenced by scanned text
data/access_bridge_agents.json,2,text,low,not referenced by scanned text
data/access_bridge_commands.json,5882,text,low,not referenced by scanned text
data/access_dispositivos.json,1873,text,low,not referenced by scanned text
data/access_eventos.json,3,text,low,not referenced by scanned text
data/access_integracoes_sdk.json,886,text,low,not referenced by scanned text
data/access_logs.json,59901,text,low,not referenced by scanned text
data/access_pessoas_presentes.json,582,text,low,not referenced by scanned text
data/access_regras.json,199,text,low,not referenced by scanned text
data/agenda.json,3,text,low,not referenced by scanned text
data/agenda_operacional.json,3,text,low,not referenced by scanned text
data/alunos.json,77042,text,low,not referenced by scanned text
data/alunos_historico_planos.json,3,text,low,not referenced by scanned text
data/auditoria_integridade.json,1211,text,low,not referenced by scanned text
data/auditoria_integridade_ultimo_relatorio.json,3,text,low,not referenced by scanned text
data/auditoria_treinos.json,260,text,low,not referenced by scanned text
data/avaliacoes.json,3,text,low,not referenced by scanned text
data/biblioteca_inteligente_logs.json,14246,text,low,not referenced by scanned text
data/biometrias.json,3071,text,low,not referenced by scanned text
data/caixa.json,2117,text,low,not referenced by scanned text
data/checkin.json,3,text,low,not referenced by scanned text
data/checkins.json,2,text,low,not referenced by scanned text
data/cobranca_log.json,3,text,low,not referenced by scanned text
data/comercial/contratos.json,5660,text,low,not referenced by scanned text
data/comercial/servicos.json,1440,text,low,not referenced by scanned text
data/comercial/servicos_contratados.json,3438,text,low,not referenced by scanned text
data/creditos.json,3,text,low,not referenced by scanned text
data/crm.json,3,text,low,not referenced by scanned text
data/db.json,218,text,low,not referenced by scanned text
data/exercicios.json,2,text,low,not referenced by scanned text
data/exercicios_biblioteca.json,856410,text,low,not referenced by scanned text
data/fidelidade_90_dias.json,81,text,low,not referenced by scanned text
data/financeiro.json,2795,text,low,not referenced by scanned text
data/frequencia.json,3,text,low,not referenced by scanned text
data/henry7x/logs.json,112737,text,low,not referenced by scanned text
data/henry7x.json,121390,text,low,not referenced by scanned text
data/importacao/Alunos.txt,156121,text,low,not referenced by scanned text
data/importacao/alunos_access_ultima_importacao.json,420021,text,low,not referenced by scanned text
data/importacao/avaliacoes-access/Avaliacao.txt,3593,text,low,not referenced by scanned text
data/importacao/avaliacoes-access/AvaliacaoAnamnese.txt,8928,text,low,not referenced by scanned text
data/importacao/avaliacoes-access/AvaliacaoBioimpedancia.txt,8988,text,low,not referenced by scanned text
data/importacao/avaliacoes-access/AvaliacaoBioimpedanciaConfig.txt,136,text,low,not referenced by scanned text
data/importacao/avaliacoes-access/AvaliacaoCardiorrespiratoria.txt,950,text,low,not referenced by scanned text
data/importacao/avaliacoes-access/AvaliacaoComparacao.txt,167,text,low,not referenced by scanned text
data/importacao/avaliacoes-access/AvaliacaoComparacaoT.txt,719,text,low,not referenced by scanned text
data/importacao/avaliacoes-access/AvaliacaoComposicao.txt,8031,text,low,not referenced by scanned text
data/importacao/avaliacoes-access/AvaliacaoConfig.txt,1518,text,low,not referenced by scanned text
